************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               1
 number of cores per block  =               1
 global update is used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =            1000
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =  100.000000000000000
 lambda, el-phonon coupling =    1.000000000000000
 omega   =    1.000000000000000
 M   =    1.000000000000000
 K   =    1.000000000000000
 U_eff = lam^2/omega^2   =    1.000000000000000
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error
 
BF_KE               1        0.40975852        0.02015948
  
BF_PE               1        2.22425815        0.60821052
  
BF_X                1       -0.10246043        0.01794930
  
#-----------------------------------------------------------
BFx_BFx             1        0.54090868        0.05747968
BFx_BFx             2       -0.34620304        0.05128500
BFx_BFx             3        0.40680189        0.04940638
BFx_BFx             4       -0.34410300        0.04545394
BFx_BFx             5        0.41255678        0.05616437
BFx_BFx             6       -0.34410300        0.04545394
BFx_BFx             7        0.40680189        0.04940638
BFx_BFx             8       -0.34620304        0.05128500
BFx_BFx             9       -0.35017312        0.04653706
BFx_BFx            10        0.37461189        0.05087549
BFx_BFx            11       -0.35792954        0.05192147
BFx_BFx            12        0.40342172        0.04991035
BFx_BFx            13       -0.36964077        0.05284575
BFx_BFx            14        0.37784866        0.04672637
BFx_BFx            15       -0.36711086        0.05194329
BFx_BFx            16        0.40296479        0.04741663
BFx_BFx            17        0.36501453        0.04513102
BFx_BFx            18       -0.37538274        0.04170457
BFx_BFx            19        0.38161185        0.04430616
BFx_BFx            20       -0.36286795        0.04454772
BFx_BFx            21        0.34989237        0.04262024
BFx_BFx            22       -0.38321413        0.04647497
BFx_BFx            23        0.36945908        0.04644285
BFx_BFx            24       -0.39322685        0.04282181
BFx_BFx            25       -0.37008915        0.05109993
BFx_BFx            26        0.35948491        0.04689697
BFx_BFx            27       -0.38058439        0.04326331
BFx_BFx            28        0.34284883        0.04927064
BFx_BFx            29       -0.39668873        0.04512315
BFx_BFx            30        0.36881958        0.04424772
BFx_BFx            31       -0.38402727        0.04906002
BFx_BFx            32        0.36091283        0.04216344
BFx_BFx            33        0.37529399        0.04267712
BFx_BFx            34       -0.38317582        0.04864630
BFx_BFx            35        0.37030317        0.04655467
BFx_BFx            36       -0.38633279        0.04746237
BFx_BFx            37        0.37528970        0.04752983
BFx_BFx            38       -0.38633279        0.04746237
BFx_BFx            39        0.37030317        0.04655467
BFx_BFx            40       -0.38317582        0.04864630
BFx_BFx            41       -0.37008915        0.05109993
BFx_BFx            42        0.36091283        0.04216344
BFx_BFx            43       -0.38402727        0.04906002
BFx_BFx            44        0.36881958        0.04424772
BFx_BFx            45       -0.39668873        0.04512315
BFx_BFx            46        0.34284883        0.04927064
BFx_BFx            47       -0.38058439        0.04326331
BFx_BFx            48        0.35948491        0.04689697
BFx_BFx            49        0.36501453        0.04513102
BFx_BFx            50       -0.39322685        0.04282181
BFx_BFx            51        0.36945908        0.04644285
BFx_BFx            52       -0.38321413        0.04647497
BFx_BFx            53        0.34989237        0.04262024
BFx_BFx            54       -0.36286795        0.04454772
BFx_BFx            55        0.38161185        0.04430616
BFx_BFx            56       -0.37538274        0.04170457
