************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               4
 measurements in one_bin              4
 warmup  =              20
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              36
 number of mpi_blocks  =               4
 number of cores per block  =               1
 global update is used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =             960
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =   96.000000000000000
 lambda, el-phonon coupling =    1.000000000000000
 omega   =    1.400000000000000
 M   =    0.510204081632653
 K   =    1.000000000000000
 U_eff = lam^2/omega^2   =    1.000000000000000
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error
 
BF_KE               1        0.85177544        0.02129777
  
BF_PE               1        1.30707515        0.32604546
  
BF_X                1       -0.03304069        0.03723516
  
#-----------------------------------------------------------
BFx_BFx             1        0.73926089        0.03989676
BFx_BFx             2       -0.42846282        0.03175342
BFx_BFx             3        0.41588084        0.03169242
BFx_BFx             4       -0.39585991        0.02753459
BFx_BFx             5        0.38011925        0.03250427
BFx_BFx             6       -0.39585991        0.02753459
BFx_BFx             7        0.41588084        0.03169242
BFx_BFx             8       -0.42846282        0.03175342
BFx_BFx             9       -0.44524660        0.01950606
BFx_BFx            10        0.42063830        0.02819277
BFx_BFx            11       -0.39103460        0.03046480
BFx_BFx            12        0.39831699        0.03689504
BFx_BFx            13       -0.42939289        0.03046619
BFx_BFx            14        0.40123827        0.03344497
BFx_BFx            15       -0.42361169        0.03570626
BFx_BFx            16        0.42482925        0.02719779
BFx_BFx            17        0.41675802        0.02801442
BFx_BFx            18       -0.42088636        0.03981042
BFx_BFx            19        0.41040317        0.02883997
BFx_BFx            20       -0.36302181        0.02537656
BFx_BFx            21        0.39730757        0.02938144
BFx_BFx            22       -0.36275558        0.03574959
BFx_BFx            23        0.40422143        0.03596736
BFx_BFx            24       -0.43648057        0.02860873
BFx_BFx            25       -0.39221965        0.02609965
BFx_BFx            26        0.39453576        0.03117089
BFx_BFx            27       -0.41064983        0.02779893
BFx_BFx            28        0.43959421        0.02903639
BFx_BFx            29       -0.45589824        0.04061918
BFx_BFx            30        0.40940297        0.04413038
BFx_BFx            31       -0.40740033        0.01517175
BFx_BFx            32        0.42142932        0.04443293
BFx_BFx            33        0.45989566        0.03607206
BFx_BFx            34       -0.42340875        0.03497484
BFx_BFx            35        0.40620032        0.02985052
BFx_BFx            36       -0.44227706        0.02262185
