************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               1
 number of cores per block  =               1
 global update is used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =            1000
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =  100.000000000000000
 lambda, el-phonon coupling =    1.000000000000000
 omega   =    1.000000000000000
 M   =    1.000000000000000
 K   =    1.000000000000000
 U_eff = lam^2/omega^2   =    1.000000000000000
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error
 
BF_KE               1        0.50831358        0.01809094
  
BF_PE               1       -0.16954258        0.74513761
  
BF_X                1       -0.01370819        0.01825130
  
#-----------------------------------------------------------
BFx_BFx             1        0.25658656        0.00373438
BFx_BFx             2       -0.07912882        0.00857801
BFx_BFx             3        0.05474924        0.01071506
BFx_BFx             4       -0.07738039        0.00936980
BFx_BFx             5        0.10499123        0.01302586
BFx_BFx             6       -0.07738039        0.00936980
BFx_BFx             7        0.05474924        0.01071506
BFx_BFx             8       -0.07912882        0.00857801
BFx_BFx             9       -0.09049265        0.00681868
BFx_BFx            10        0.09547451        0.00650306
BFx_BFx            11       -0.06697454        0.00836545
BFx_BFx            12        0.06479805        0.00449321
BFx_BFx            13       -0.08144702        0.00654262
BFx_BFx            14        0.08934272        0.00820382
BFx_BFx            15       -0.10420293        0.00390049
BFx_BFx            16        0.07908652        0.00762603
BFx_BFx            17        0.06606381        0.00715309
BFx_BFx            18       -0.05359437        0.00650188
BFx_BFx            19        0.06609282        0.01203207
BFx_BFx            20       -0.07918019        0.00591574
BFx_BFx            21        0.07007575        0.00815789
BFx_BFx            22       -0.07353444        0.00515566
BFx_BFx            23        0.08931443        0.00445291
BFx_BFx            24       -0.09223865        0.00419944
BFx_BFx            25       -0.09078428        0.00532501
BFx_BFx            26        0.05830747        0.00408904
BFx_BFx            27       -0.05571680        0.00616648
BFx_BFx            28        0.05583037        0.00696424
BFx_BFx            29       -0.08701262        0.00557399
BFx_BFx            30        0.07636151        0.00385211
BFx_BFx            31       -0.05651029        0.00576710
BFx_BFx            32        0.06426611        0.00856130
BFx_BFx            33        0.04289241        0.01247513
BFx_BFx            34       -0.05755499        0.00444608
BFx_BFx            35        0.08125385        0.00482093
BFx_BFx            36       -0.08384449        0.00455647
BFx_BFx            37        0.06756776        0.00568036
BFx_BFx            38       -0.08384449        0.00455647
BFx_BFx            39        0.08125385        0.00482093
BFx_BFx            40       -0.05755499        0.00444608
BFx_BFx            41       -0.09078428        0.00532501
BFx_BFx            42        0.06426611        0.00856130
BFx_BFx            43       -0.05651029        0.00576710
BFx_BFx            44        0.07636151        0.00385211
BFx_BFx            45       -0.08701262        0.00557399
BFx_BFx            46        0.05583037        0.00696424
BFx_BFx            47       -0.05571680        0.00616648
BFx_BFx            48        0.05830747        0.00408904
BFx_BFx            49        0.06606381        0.00715309
BFx_BFx            50       -0.09223865        0.00419944
BFx_BFx            51        0.08931443        0.00445291
BFx_BFx            52       -0.07353444        0.00515566
BFx_BFx            53        0.07007575        0.00815789
BFx_BFx            54       -0.07918019        0.00591574
BFx_BFx            55        0.06609282        0.01203207
BFx_BFx            56       -0.05359437        0.00650188
BFx_BFx            57       -0.09049265        0.00681868
BFx_BFx            58        0.07908652        0.00762603
BFx_BFx            59       -0.10420293        0.00390049
BFx_BFx            60        0.08934272        0.00820382
BFx_BFx            61       -0.08144702        0.00654262
BFx_BFx            62        0.06479805        0.00449321
BFx_BFx            63       -0.06697454        0.00836545
BFx_BFx            64        0.09547451        0.00650306
  
#-----------------------------------------------------------
BFx_BFx_k           1        0.07739480        0.00407785
BFx_BFx_k           2        0.00180263        0.00047302
BFx_BFx_k           3        0.00459626        0.00071865
BFx_BFx_k           4        0.00271395        0.00064386
BFx_BFx_k           5        0.00364958        0.00077313
BFx_BFx_k           6        0.00271395        0.00064386
BFx_BFx_k           7        0.00459626        0.00071865
BFx_BFx_k           8        0.00180263        0.00047302
BFx_BFx_k           9        0.00637460        0.00145721
BFx_BFx_k          10        0.00679605        0.00151689
BFx_BFx_k          11        0.00347748        0.00033105
BFx_BFx_k          12        0.00148654        0.00056727
BFx_BFx_k          13        0.00216269        0.00060147
BFx_BFx_k          14        0.00207718        0.00109627
BFx_BFx_k          15        0.00316236        0.00033557
BFx_BFx_k          16        0.00112331        0.00022163
BFx_BFx_k          17        0.00249488        0.00043951
BFx_BFx_k          18        0.00245176        0.00013627
BFx_BFx_k          19        0.00290386        0.00054112
BFx_BFx_k          20        0.00095502        0.00044008
BFx_BFx_k          21        0.00253482        0.00035736
BFx_BFx_k          22        0.00404242        0.00075635
BFx_BFx_k          23        0.00455137        0.00134978
BFx_BFx_k          24        0.00098479        0.00038833
BFx_BFx_k          25        0.00076064        0.00022216
BFx_BFx_k          26        0.00271457        0.00052912
BFx_BFx_k          27        0.00357348        0.00037958
BFx_BFx_k          28        0.00218517        0.00025646
BFx_BFx_k          29        0.00308384        0.00101979
BFx_BFx_k          30        0.00278980        0.00053474
BFx_BFx_k          31        0.00879461        0.00102617
BFx_BFx_k          32        0.00286122        0.00093702
BFx_BFx_k          33        0.00135678        0.00064774
BFx_BFx_k          34        0.00052417        0.00010376
BFx_BFx_k          35        0.00045051        0.00021156
BFx_BFx_k          36        0.00239025        0.00091671
BFx_BFx_k          37        0.00054496        0.00008493
BFx_BFx_k          38        0.00239025        0.00091671
BFx_BFx_k          39        0.00045051        0.00021156
BFx_BFx_k          40        0.00052417        0.00010376
BFx_BFx_k          41        0.00076064        0.00022216
