************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               4
 number of cores per block  =               2
 global update is not used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =             960
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =   96.000000000000000
 lambda, el-phonon coupling =    0.900000000000000
Anti-aidabatic limit, M = 0.0
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error            LError
 
BF_KE               1       10.89602791        0.17549625        0.00000000
  
BF_PE               1       10.00000000        0.00000000        0.00000000
  
BF_X                1       -0.36397333        0.05683933        0.00000000
  
#-----------------------------------------------------------
BFx_BFx             1       11.20425032        0.43363117        0.00000000
BFx_BFx             2       -0.32559971        0.30157228        0.00000000
BFx_BFx             3       -0.17732391        0.43710495        0.00000000
BFx_BFx             4        0.69849842        0.49223964        0.00000000
BFx_BFx             5        1.02824727        0.26628337        0.00000000
BFx_BFx             6        0.69849842        0.49223964        0.00000000
BFx_BFx             7       -0.17732391        0.43710495        0.00000000
BFx_BFx             8       -0.32559971        0.30157228        0.00000000
BFx_BFx             9        0.26218772        0.31881266        0.00000000
BFx_BFx            10        0.07824895        0.37101649        0.00000000
BFx_BFx            11       -0.11414434        0.08494313        0.00000000
BFx_BFx            12       -0.48839829        0.41038304        0.00000000
BFx_BFx            13        0.27296635        0.44844620        0.00000000
BFx_BFx            14        0.57987834        0.29016419        0.00000000
BFx_BFx            15       -0.70050274        0.22208847        0.00000000
BFx_BFx            16        0.00584794        0.18049736        0.00000000
BFx_BFx            17       -0.00176495        0.30006643        0.00000000
BFx_BFx            18       -0.17654440        0.36279488        0.00000000
BFx_BFx            19       -0.12989992        0.28060452        0.00000000
BFx_BFx            20       -0.01467100        0.18434857        0.00000000
BFx_BFx            21        0.07009738        0.27916200        0.00000000
BFx_BFx            22       -0.52245754        0.54859107        0.00000000
BFx_BFx            23       -0.60386108        0.36466886        0.00000000
BFx_BFx            24       -0.17407834        0.27515864        0.00000000
BFx_BFx            25        0.37436410        0.25325599        0.00000000
BFx_BFx            26        0.71975382        0.23892399        0.00000000
BFx_BFx            27       -0.39365418        0.15472029        0.00000000
BFx_BFx            28        0.66935147        0.07495876        0.00000000
BFx_BFx            29       -0.14871669        0.25347181        0.00000000
BFx_BFx            30        0.68460641        0.27820799        0.00000000
BFx_BFx            31        0.11494279        0.21649158        0.00000000
BFx_BFx            32       -0.69462723        0.25032525        0.00000000
BFx_BFx            33       -0.13303235        0.30602167        0.00000000
BFx_BFx            34       -0.39429146        0.25707533        0.00000000
BFx_BFx            35        0.27977966        0.25039444        0.00000000
BFx_BFx            36       -0.26488050        0.30146425        0.00000000
BFx_BFx            37       -1.21019135        0.30839078        0.00000000
BFx_BFx            38       -0.26488050        0.30146425        0.00000000
BFx_BFx            39        0.27977966        0.25039444        0.00000000
BFx_BFx            40       -0.39429146        0.25707533        0.00000000
BFx_BFx            41        0.37436410        0.25325599        0.00000000
BFx_BFx            42       -0.69462723        0.25032525        0.00000000
BFx_BFx            43        0.11494279        0.21649158        0.00000000
BFx_BFx            44        0.68460641        0.27820799        0.00000000
BFx_BFx            45       -0.14871669        0.25347181        0.00000000
BFx_BFx            46        0.66935147        0.07495876        0.00000000
BFx_BFx            47       -0.39365418        0.15472029        0.00000000
BFx_BFx            48        0.71975382        0.23892399        0.00000000
BFx_BFx            49       -0.00176495        0.30006643        0.00000000
BFx_BFx            50       -0.17407834        0.27515864        0.00000000
BFx_BFx            51       -0.60386108        0.36466886        0.00000000
BFx_BFx            52       -0.52245754        0.54859107        0.00000000
BFx_BFx            53        0.07009738        0.27916200        0.00000000
BFx_BFx            54       -0.01467100        0.18434857        0.00000000
BFx_BFx            55       -0.12989992        0.28060452        0.00000000
BFx_BFx            56       -0.17654440        0.36279488        0.00000000
BFx_BFx            57        0.26218772        0.31881266        0.00000000
BFx_BFx            58        0.00584794        0.18049736        0.00000000
BFx_BFx            59       -0.70050274        0.22208847        0.00000000
BFx_BFx            60        0.57987834        0.29016419        0.00000000
BFx_BFx            61        0.27296635        0.44844620        0.00000000
BFx_BFx            62       -0.48839829        0.41038304        0.00000000
BFx_BFx            63       -0.11414434        0.08494313        0.00000000
BFx_BFx            64        0.07824895        0.37101649        0.00000000
  
#-----------------------------------------------------------
BFx_BFx_k           1        0.13558522        0.02275167        0.00000000
BFx_BFx_k           2       -0.28822436        0.01480754        0.00000000
BFx_BFx_k           3       -0.00950986        0.02115480        0.00000000
BFx_BFx_k           4       -0.02688988        0.01525634        0.00000000
BFx_BFx_k           5        0.47752909        0.02498451        0.00000000
BFx_BFx_k           6       -0.02688988        0.01525634        0.00000000
BFx_BFx_k           7       -0.00950986        0.02115480        0.00000000
BFx_BFx_k           8       -0.28822436        0.01480754        0.00000000
BFx_BFx_k           9        0.12831898        0.01981499        0.00000000
BFx_BFx_k          10       -0.33958915        0.00504282        0.00000000
BFx_BFx_k          11       -0.03147918        0.01102492        0.00000000
BFx_BFx_k          12       -0.10489573        0.02267522        0.00000000
BFx_BFx_k          13        0.48263319        0.01671970        0.00000000
BFx_BFx_k          14       -0.07193941        0.01844060        0.00000000
BFx_BFx_k          15        0.03024402        0.00781457        0.00000000
BFx_BFx_k          16       -0.31084920        0.01168823        0.00000000
BFx_BFx_k          17        0.20925101        0.02707553        0.00000000
BFx_BFx_k          18       -0.36790935        0.04160440        0.00000000
BFx_BFx_k          19       -0.04063976        0.01046512        0.00000000
BFx_BFx_k          20       -0.06249373        0.01916969        0.00000000
BFx_BFx_k          21        0.49514726        0.03839797        0.00000000
BFx_BFx_k          22       -0.00436584        0.01192524        0.00000000
BFx_BFx_k          23       -0.00779425        0.03867539        0.00000000
BFx_BFx_k          24       -0.29361030        0.01756481        0.00000000
BFx_BFx_k          25        0.15397644        0.02833085        0.00000000
BFx_BFx_k          26       -0.28195505        0.02550361        0.00000000
BFx_BFx_k          27        0.02092824        0.03672388        0.00000000
BFx_BFx_k          28        0.00414809        0.01607524        0.00000000
BFx_BFx_k          29        0.52304636        0.02949040        0.00000000
BFx_BFx_k          30       -0.06953309        0.03500518        0.00000000
BFx_BFx_k          31        0.08978769        0.04778912        0.00000000
BFx_BFx_k          32       -0.26225139        0.01705726        0.00000000
BFx_BFx_k          33        0.10827439        0.04369260        0.00000000
BFx_BFx_k          34       -0.38020791        0.05309008        0.00000000
BFx_BFx_k          35        0.08286570        0.06265407        0.00000000
BFx_BFx_k          36       -0.01708463        0.02081679        0.00000000
BFx_BFx_k          37        0.47400807        0.03428706        0.00000000
BFx_BFx_k          38       -0.01708463        0.02081679        0.00000000
BFx_BFx_k          39        0.08286570        0.06265407        0.00000000
BFx_BFx_k          40       -0.38020791        0.05309008        0.00000000
BFx_BFx_k          41        0.15397644        0.02833085        0.00000000
BFx_BFx_k          42       -0.26225139        0.01705726        0.00000000
BFx_BFx_k          43        0.08978769        0.04778912        0.00000000
BFx_BFx_k          44       -0.06953309        0.03500518        0.00000000
BFx_BFx_k          45        0.52304636        0.02949040        0.00000000
BFx_BFx_k          46        0.00414809        0.01607524        0.00000000
BFx_BFx_k          47        0.02092824        0.03672388        0.00000000
BFx_BFx_k          48       -0.28195505        0.02550361        0.00000000
BFx_BFx_k          49        0.20925101        0.02707553        0.00000000
BFx_BFx_k          50       -0.29361030        0.01756481        0.00000000
BFx_BFx_k          51       -0.00779425        0.03867539        0.00000000
BFx_BFx_k          52       -0.00436584        0.01192524        0.00000000
BFx_BFx_k          53        0.49514726        0.03839797        0.00000000
BFx_BFx_k          54       -0.06249373        0.01916969        0.00000000
