C   0   |    B   1
C   1   |    B   1
C   3   |    B   1
C   2   |    B   1
C   0   |    B   2
C   1   |    B   2
C   4   |    B   1
C   5   |    B   1
C   7   |    B   1
C   6   |    B   1
C   3   |    B   2
C   2   |    B   2
C   0   |    B   3
C   1   |    B   3
C   4   |    B   2
C   5   |    B   2
C   7   |    B   2
C   6   |    B   2
C   3   |    B   3
C   2   |    B   3
C   0   |    B   4
C   1   |    B   4
C   4   |    B   3
C   5   |    B   3
C   6   |    B   3
C   7   |    B   3
C   3   |    B   4
C   2   |    B   4
C   1   |    B   5
C   0   |    B   5
C   4   |    B   4
C   5   |    B   4
C   7   |    B   4
C   6   |    B   4
C   3   |    B   5
C   2   |    B   5
C   4   |    B   5
C   5   |    B   5
C   6   |    B   5
C   7   |    B   5
